epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2076,1.31545,3.65004,1.84689,0.00139,0.3287,0.02967,0.00616,2.42119,4.66108,3.31151,5e-05,5e-05,0.09505
2,19.3877,1.295,2.97975,1.69387,0.00062,0.16204,0.03954,0.00449,2.69957,4.8685,3.94081,9.911e-05,9.911e-05,0.0890991
3,28.7439,1.23665,2.71286,1.54484,0.00062,0.16204,0.03907,0.00448,2.75357,5.05633,4.21093,0.00013634,0.00013634,0.0831363
4,38.1939,1.3407,2.38461,1.59584,0.00035,0.0787,0.00684,0.001,2.98057,5.14773,4.29568,0.00016169,0.00016169,0.0771617
5,47.6879,1.24553,2.11782,1.5872,0.00099,0.16204,0.0044,0.00096,3.02002,5.26569,4.4568,0.00017516,0.00017516,0.0711752
6,57.1122,1.13665,2.00553,1.41033,0.00094,0.2037,0.00382,0.00101,2.76469,5.07978,3.98908,0.00017675,0.00017675,0.0651768
7,66.8169,1.1447,1.87343,1.52735,0.00215,0.36111,0.06774,0.02703,1.9137,4.45996,2.58049,0.00016646,0.00016646,0.0591665
8,76.6214,1.0788,1.81183,1.46188,0.00344,0.52778,0.1846,0.06408,1.69696,4.22931,2.26734,0.00014429,0.00014429,0.0531443
9,87.233,1.14219,1.68333,1.45995,0.00379,0.56481,0.22623,0.10195,1.57482,3.99928,2.01344,0.00011024,0.00011024,0.0471102
10,96.9739,1.08377,1.66342,1.35655,0.00719,0.80093,0.32253,0.20646,1.35103,3.32559,1.52483,6.431e-05,6.431e-05,0.0410643
