epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.056,1.16472,1.29139,1.4983,0.95963,0.86448,0.95522,0.42768,1.69617,1.41322,2.08861,0.000327957,0.000327957,0.0675323
2,208.818,1.05983,0.8227,1.39532,0.96358,0.96199,0.98496,0.59428,1.25396,0.87398,1.6895,0.000654744,0.000654744,0.0345257
3,312.314,1.05499,0.72836,1.39909,1,0.94137,0.96636,0.68962,1.03501,0.73223,1.40011,0.00097493,0.00097493,0.00151256
4,412.447,1.00929,0.68467,1.37419,0.94625,0.96028,0.97633,0.52185,1.56603,0.75161,1.97996,0.0009703,0.0009703,0.0009703
5,513.28,0.96878,0.64564,1.32855,0.94541,0.90909,0.94682,0.40102,1.86184,0.95358,2.25206,0.0009604,0.0009604,0.0009604
6,613.671,0.99037,0.63867,1.34357,0.94174,0.88171,0.90759,0.4008,1.99947,0.85484,2.48715,0.0009505,0.0009505,0.0009505
7,713.182,0.96599,0.60892,1.32588,0.98145,0.9622,0.96599,0.59924,1.29148,0.62384,1.6029,0.0009406,0.0009406,0.0009406
8,812.476,0.94336,0.59827,1.29784,0.96662,0.94545,0.94906,0.60363,1.19186,0.66747,1.48342,0.0009307,0.0009307,0.0009307
9,912.118,0.93822,0.58252,1.28738,0.82129,0.92727,0.93711,0.62718,1.05952,0.71867,1.38702,0.0009208,0.0009208,0.0009208
10,1011.64,0.92077,0.56376,1.29928,0.9798,0.96364,0.97475,0.62635,1.18094,0.5943,1.47761,0.0009109,0.0009109,0.0009109
11,1111.27,0.86676,0.52495,1.26463,0.9615,0.96364,0.98159,0.69221,1.05859,0.59802,1.37684,0.000901,0.000901,0.000901
12,1210.89,0.88546,0.53489,1.24754,0.98097,0.93724,0.97499,0.67884,1.06597,0.52013,1.39151,0.0008911,0.0008911,0.0008911
13,1311.11,0.88153,0.51876,1.2598,0.95492,0.94545,0.97063,0.60611,1.26933,0.56614,1.57102,0.0008812,0.0008812,0.0008812
14,1410.63,0.91109,0.51866,1.26544,0.9462,0.95928,0.98225,0.6014,1.28018,0.62282,1.57171,0.0008713,0.0008713,0.0008713
15,1510.73,0.87779,0.52431,1.26352,0.9582,0.94545,0.94947,0.66337,1.12078,0.53803,1.4264,0.0008614,0.0008614,0.0008614
16,1610.73,0.87663,0.51415,1.25752,0.95731,0.96364,0.97418,0.72108,0.96853,0.53351,1.32337,0.0008515,0.0008515,0.0008515
17,1712.55,0.89575,0.52638,1.2601,0.95666,0.94545,0.96398,0.75767,0.86544,0.51294,1.20341,0.0008416,0.0008416,0.0008416
18,1813.11,0.85007,0.48111,1.24621,0.96296,0.94537,0.9592,0.7022,1.00816,0.53761,1.31612,0.0008317,0.0008317,0.0008317
19,1913.06,0.88641,0.51978,1.26848,0.97723,0.94545,0.96269,0.56,1.32451,0.56867,1.65321,0.0008218,0.0008218,0.0008218
20,2012.82,0.86581,0.51643,1.25356,0.96205,0.96364,0.95895,0.6148,1.30724,0.579,1.65664,0.0008119,0.0008119,0.0008119
21,2112.55,0.89339,0.50469,1.27548,0.9376,0.96364,0.98482,0.7982,0.71938,0.43603,1.08632,0.000802,0.000802,0.000802
22,2212.68,0.84144,0.48334,1.25261,0.96352,0.96051,0.97717,0.70161,0.99209,0.48876,1.34289,0.0007921,0.0007921,0.0007921
23,2312.25,0.83641,0.47456,1.23552,0.95733,0.94545,0.97591,0.61496,1.35152,0.59813,1.67376,0.0007822,0.0007822,0.0007822
24,2411.96,0.84423,0.4781,1.23107,0.97507,0.96364,0.96416,0.72127,0.93829,0.53521,1.2498,0.0007723,0.0007723,0.0007723
25,2511.64,0.80328,0.47074,1.21763,0.96942,0.94545,0.98728,0.6909,1.07613,0.51788,1.43009,0.0007624,0.0007624,0.0007624
26,2611.7,0.77696,0.44901,1.1957,0.9473,0.98057,0.98722,0.71575,1.09797,0.46377,1.42419,0.0007525,0.0007525,0.0007525
27,2711.31,0.78353,0.43657,1.19222,0.94595,0.98182,0.98857,0.77526,0.87207,0.42638,1.1631,0.0007426,0.0007426,0.0007426
28,2811.1,0.80252,0.45131,1.20848,0.96286,0.96364,0.9856,0.75385,0.93894,0.43163,1.29432,0.0007327,0.0007327,0.0007327
29,2910.91,0.77094,0.44961,1.19412,0.95612,0.96364,0.98195,0.76471,0.87812,0.39756,1.18802,0.0007228,0.0007228,0.0007228
30,3010.99,0.75274,0.42171,1.18019,0.96352,0.96047,0.98328,0.78622,0.81462,0.37677,1.14271,0.0007129,0.0007129,0.0007129
31,3111.03,0.79414,0.44043,1.20326,0.95998,0.96364,0.97256,0.77907,0.80612,0.41084,1.14259,0.000703,0.000703,0.000703
32,3210.24,0.75277,0.424,1.18605,0.96965,0.94545,0.9809,0.68368,1.11726,0.45605,1.45081,0.0006931,0.0006931,0.0006931
33,3309.99,0.74662,0.40169,1.17263,0.98143,0.96096,0.98232,0.81671,0.69927,0.36189,1.06749,0.0006832,0.0006832,0.0006832
34,3409.66,0.75256,0.44687,1.1718,0.96164,0.94545,0.95685,0.71551,0.96423,0.43538,1.3139,0.0006733,0.0006733,0.0006733
35,3511.09,0.75672,0.4213,1.18922,0.95998,0.94545,0.9692,0.69355,1.09531,0.48651,1.50133,0.0006634,0.0006634,0.0006634
36,3611.21,0.73147,0.41862,1.16765,0.94501,0.96364,0.97297,0.78976,0.80261,0.38138,1.16104,0.0006535,0.0006535,0.0006535
37,3711.41,0.73995,0.41503,1.16794,0.96132,0.94545,0.97946,0.78524,0.82833,0.43294,1.18025,0.0006436,0.0006436,0.0006436
38,3811.83,0.74862,0.41494,1.17429,0.97706,0.94545,0.95746,0.59857,1.34329,0.51324,1.68911,0.0006337,0.0006337,0.0006337
39,3913.78,0.72962,0.41569,1.15406,0.98033,0.96364,0.9696,0.75811,0.84703,0.44344,1.18734,0.0006238,0.0006238,0.0006238
40,4014.41,0.74927,0.4253,1.17248,0.95757,0.94545,0.97247,0.76405,0.92259,0.4348,1.26441,0.0006139,0.0006139,0.0006139
41,4114.62,0.75784,0.41082,1.18379,0.96193,0.96364,0.97313,0.6684,1.21132,0.51813,1.55121,0.000604,0.000604,0.000604
42,4214.61,0.7195,0.39433,1.14422,0.94182,0.94545,0.97994,0.79569,0.79837,0.43423,1.13324,0.0005941,0.0005941,0.0005941
43,4314.38,0.72776,0.39945,1.16578,0.95838,0.94545,0.97488,0.76491,0.87519,0.4462,1.22957,0.0005842,0.0005842,0.0005842
44,4414.21,0.70615,0.38933,1.14902,0.96052,0.94545,0.96716,0.75076,0.90547,0.49231,1.22899,0.0005743,0.0005743,0.0005743
45,4513.83,0.69372,0.38887,1.15472,0.96022,0.94545,0.96489,0.76733,0.81595,0.41297,1.15696,0.0005644,0.0005644,0.0005644
46,4613.48,0.70528,0.40375,1.15802,0.94303,0.92727,0.92763,0.72467,0.91304,0.39953,1.28657,0.0005545,0.0005545,0.0005545
47,4713.26,0.71801,0.40206,1.14333,0.96098,0.94545,0.94195,0.72861,0.93331,0.44116,1.27032,0.0005446,0.0005446,0.0005446
48,4813.4,0.67634,0.37994,1.13102,0.94532,0.94309,0.9377,0.72114,0.9158,0.43054,1.31001,0.0005347,0.0005347,0.0005347
49,4913.55,0.69034,0.38491,1.13861,0.95599,0.94545,0.9584,0.76505,0.82892,0.40306,1.19154,0.0005248,0.0005248,0.0005248
50,5013.53,0.68578,0.38241,1.13964,0.94287,0.96364,0.96735,0.73977,0.80564,0.39622,1.17287,0.0005149,0.0005149,0.0005149
51,5113.24,0.66113,0.38,1.13098,0.94509,0.94545,0.96381,0.72298,1.05307,0.45422,1.40643,0.000505,0.000505,0.000505
52,5213.47,0.65194,0.36438,1.11943,0.96247,0.96364,0.97372,0.74562,0.93117,0.44347,1.26407,0.0004951,0.0004951,0.0004951
53,5314.1,0.68558,0.37419,1.13216,0.96359,0.96229,0.96841,0.75508,0.91617,0.45897,1.25734,0.0004852,0.0004852,0.0004852
54,5414.04,0.63634,0.36769,1.10365,0.95735,0.94545,0.9704,0.71849,1.05045,0.46076,1.46659,0.0004753,0.0004753,0.0004753
55,5513.85,0.64256,0.36123,1.11437,0.94373,0.94545,0.97104,0.76888,0.87711,0.44303,1.25195,0.0004654,0.0004654,0.0004654
56,5613.81,0.67197,0.39425,1.14502,0.97332,0.94545,0.97023,0.70305,1.0982,0.48883,1.44847,0.0004555,0.0004555,0.0004555
57,5713.76,0.68697,0.37221,1.13481,0.94899,0.94545,0.95733,0.78162,0.76851,0.41348,1.12778,0.0004456,0.0004456,0.0004456
58,5814.01,0.67896,0.38288,1.12662,0.94976,0.94545,0.95886,0.74488,0.82753,0.42986,1.15894,0.0004357,0.0004357,0.0004357
59,5913.83,0.67176,0.36275,1.12206,0.94512,0.94545,0.96515,0.70479,1.04832,0.4637,1.38958,0.0004258,0.0004258,0.0004258
60,6013.67,0.66109,0.35266,1.13048,0.95357,0.94545,0.97284,0.78502,0.77177,0.40026,1.15517,0.0004159,0.0004159,0.0004159
61,6113.94,0.62325,0.3459,1.10562,0.95984,0.94545,0.96827,0.74658,0.94155,0.40503,1.28819,0.000406,0.000406,0.000406
62,6213.91,0.62074,0.34882,1.10043,0.96233,0.96364,0.97315,0.78321,0.82897,0.37445,1.18121,0.0003961,0.0003961,0.0003961
63,6313.89,0.63576,0.3502,1.11219,0.96246,0.96364,0.98632,0.76457,0.89144,0.39858,1.23987,0.0003862,0.0003862,0.0003862
64,6413.95,0.64883,0.35702,1.10666,0.96396,0.98182,0.98316,0.75033,0.92802,0.37779,1.27024,0.0003763,0.0003763,0.0003763
65,6514.2,0.6567,0.35688,1.12077,0.96269,0.98182,0.98054,0.81707,0.74389,0.31881,1.12754,0.0003664,0.0003664,0.0003664
66,6616.55,0.62667,0.34566,1.09873,0.96199,0.96364,0.96997,0.78038,0.83372,0.34551,1.19041,0.0003565,0.0003565,0.0003565
67,6725.94,0.6368,0.35531,1.11819,0.96594,0.96364,0.97379,0.71687,1.03472,0.42117,1.38814,0.0003466,0.0003466,0.0003466
68,6829.97,0.63683,0.36827,1.11294,0.97858,0.96364,0.97404,0.79685,0.78174,0.34975,1.13561,0.0003367,0.0003367,0.0003367
69,6930.51,0.64352,0.35834,1.11008,0.96012,0.96364,0.96844,0.70106,1.07041,0.43756,1.4317,0.0003268,0.0003268,0.0003268
70,7030.7,0.64026,0.35164,1.11347,0.97572,0.94545,0.97655,0.7979,0.80193,0.36588,1.16733,0.0003169,0.0003169,0.0003169
71,7132.88,0.58554,0.33338,1.07798,0.95776,0.94545,0.97847,0.78732,0.89224,0.36742,1.24551,0.000307,0.000307,0.000307
72,7234.77,0.62364,0.34305,1.10186,0.9473,0.94545,0.96578,0.76937,0.85225,0.39428,1.18725,0.0002971,0.0002971,0.0002971
73,7335.01,0.60465,0.35069,1.10398,0.96365,0.94545,0.97522,0.79228,0.79609,0.36323,1.11869,0.0002872,0.0002872,0.0002872
74,7436.76,0.60028,0.34087,1.08649,0.95665,0.94545,0.97212,0.74415,0.91034,0.3974,1.26269,0.0002773,0.0002773,0.0002773
75,7537.23,0.58767,0.33805,1.08862,0.95948,0.94545,0.9547,0.76428,0.82089,0.35511,1.18063,0.0002674,0.0002674,0.0002674
76,7637.47,0.58043,0.32869,1.08586,0.95066,0.92727,0.94132,0.75075,0.92519,0.37748,1.30862,0.0002575,0.0002575,0.0002575
77,7738.25,0.59996,0.32781,1.08473,0.96942,0.94545,0.97767,0.78774,0.80793,0.35372,1.1962,0.0002476,0.0002476,0.0002476
78,7838.55,0.57826,0.32442,1.07248,0.96993,0.94545,0.97782,0.75688,0.9555,0.39996,1.36559,0.0002377,0.0002377,0.0002377
79,7938.75,0.56819,0.31838,1.06604,0.95715,0.94545,0.97103,0.78916,0.8062,0.34845,1.18842,0.0002278,0.0002278,0.0002278
80,8039,0.57119,0.31899,1.07054,0.94626,0.96046,0.97618,0.76401,0.88935,0.35334,1.28864,0.0002179,0.0002179,0.0002179
81,8139.53,0.56062,0.30625,1.05633,0.95887,0.94545,0.97715,0.76302,0.88655,0.37015,1.24962,0.000208,0.000208,0.000208
82,8239.8,0.55576,0.30725,1.04853,0.95593,0.94545,0.97901,0.74377,0.99451,0.40973,1.39592,0.0001981,0.0001981,0.0001981
83,8341.06,0.55123,0.30172,1.06169,0.96107,0.94545,0.96607,0.78341,0.8214,0.35273,1.1721,0.0001882,0.0001882,0.0001882
84,8441.75,0.58509,0.33131,1.07682,0.95406,0.94545,0.97373,0.74547,0.97144,0.37833,1.35476,0.0001783,0.0001783,0.0001783
85,8542.58,0.55337,0.3053,1.07073,0.95135,0.94545,0.98492,0.78428,0.88198,0.35433,1.27696,0.0001684,0.0001684,0.0001684
86,8642.89,0.56539,0.312,1.06972,0.96559,0.94545,0.98323,0.76899,0.92731,0.37461,1.32779,0.0001585,0.0001585,0.0001585
87,8743.72,0.53172,0.30164,1.03973,0.96219,0.94545,0.98539,0.80349,0.79137,0.35153,1.20121,0.0001486,0.0001486,0.0001486
88,8844.74,0.54735,0.3073,1.05364,0.97019,0.94545,0.98209,0.77083,0.88532,0.38109,1.28056,0.0001387,0.0001387,0.0001387
