epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,8945.62,0.53672,0.29671,1.04548,0.9624,0.96364,0.9827,0.79393,0.82413,0.35805,1.22422,0.0001288,0.0001288,0.0001288
90,9045.98,0.5272,0.30473,1.04879,0.98005,0.96364,0.9822,0.74351,0.97609,0.42055,1.3704,0.0001189,0.0001189,0.0001189
91,9144.17,0.48396,0.25636,1.06026,0.94633,0.96364,0.9792,0.77781,0.86692,0.38794,1.27735,0.000109,0.000109,0.000109
92,9242.51,0.45777,0.23815,1.04338,0.94927,0.96364,0.98222,0.78583,0.8319,0.37224,1.24359,9.91e-05,9.91e-05,9.91e-05
93,9341.26,0.45455,0.23235,1.02654,0.96357,0.96179,0.98019,0.75925,0.89234,0.38722,1.3132,8.92e-05,8.92e-05,8.92e-05
94,9439.91,0.44008,0.22158,1.03785,0.96363,0.96345,0.98157,0.78448,0.83164,0.36542,1.24301,7.93e-05,7.93e-05,7.93e-05
95,9538.54,0.43214,0.21937,1.01282,0.95609,0.94545,0.98014,0.75574,0.86581,0.38863,1.26313,6.94e-05,6.94e-05,6.94e-05
96,9637.06,0.42158,0.21894,1.00267,0.95843,0.94545,0.98108,0.77364,0.85682,0.3702,1.26565,5.95e-05,5.95e-05,5.95e-05
97,9735.51,0.41662,0.21471,0.99539,0.9586,0.94545,0.96945,0.77666,0.8571,0.3657,1.26575,4.96e-05,4.96e-05,4.96e-05
98,9834.05,0.43063,0.22101,1.02965,0.95984,0.94545,0.96929,0.78829,0.82058,0.34609,1.22711,3.97e-05,3.97e-05,3.97e-05
99,9932.9,0.4162,0.21315,0.99209,0.95886,0.94545,0.96795,0.78612,0.81736,0.33867,1.22775,2.98e-05,2.98e-05,2.98e-05
100,10031.8,0.39904,0.21219,0.99022,0.95922,0.94545,0.96778,0.76466,0.85611,0.34848,1.27193,1.99e-05,1.99e-05,1.99e-05
