epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.97511,1.32176,3.13794,1.62155,0.0027,0.56019,0.01822,0.00825,1.88433,4.48967,2.29772,5e-05,5e-05,0.09505
2,17.7544,1.37445,2.6758,1.56998,0.00382,0.76389,0.12983,0.05636,1.72188,4.63239,2.1205,0.000108911,0.000108911,0.0891089
3,26.6611,1.36495,2.6666,1.48719,0.00353,0.72685,0.14235,0.06498,1.69251,4.46717,2.23898,0.000166634,0.000166634,0.0831666
4,35.3428,1.27262,2.09437,1.47344,0.00305,0.64815,0.11974,0.04462,1.7278,4.34488,2.33473,0.000223169,0.000223169,0.0772232
5,44.3041,1.30503,2.15925,1.43202,0.00304,0.64815,0.1246,0.06626,1.58051,4.24668,2.23653,0.000278516,0.000278516,0.0712785
6,53.1605,1.31137,2.14702,1.48509,0.00339,0.68056,0.12751,0.09056,1.55888,3.78653,2.07889,0.000332675,0.000332675,0.0653327
7,62.0283,1.30057,1.86158,1.40657,0.0043,0.80556,0.10529,0.07239,1.59327,3.67938,1.93898,0.000385646,0.000385646,0.0593856
8,70.921,1.31103,1.76602,1.38503,0.00299,0.52315,0.13242,0.08563,1.65319,3.66384,1.96427,0.000437429,0.000437429,0.0534374
9,79.6891,1.30532,1.81442,1.36904,0.00331,0.60648,0.17895,0.11582,1.57636,3.67599,1.94444,0.000488024,0.000488024,0.047488
10,88.5602,1.17825,1.61593,1.33233,0.94336,0.22943,0.44978,0.26247,1.563,2.6688,1.69514,0.000537431,0.000537431,0.0415374
11,97.2517,1.23405,1.59801,1.44181,0.67853,0.27658,0.50512,0.30852,1.49825,2.32384,1.56626,0.00058565,0.00058565,0.0355857
12,106.139,1.32245,1.56074,1.37837,0.46797,0.47259,0.57177,0.3679,1.40111,2.05146,1.42481,0.000632681,0.000632681,0.0296327
13,114.976,1.12818,1.44493,1.29375,0.76804,0.45685,0.60672,0.40472,1.35116,1.8461,1.38413,0.000678524,0.000678524,0.0236785
14,123.835,1.19105,1.52007,1.36476,0.56478,0.47222,0.57436,0.35755,1.36325,1.83976,1.41587,0.000723179,0.000723179,0.0177232
15,132.583,1.3293,1.61549,1.37784,0.56478,0.47222,0.57436,0.35755,1.36325,1.83976,1.41587,0.000766646,0.000766646,0.0117666
16,141.381,1.18694,1.44044,1.3247,0.40336,0.62611,0.53784,0.3119,1.46613,1.97669,1.51108,0.000808925,0.000808925,0.00580892
17,150.339,1.18403,1.49092,1.32346,0.38239,0.69468,0.53465,0.27677,1.64629,2.07476,1.68113,0.0008416,0.0008416,0.0008416
18,159.199,1.07152,1.35257,1.22167,0.44214,0.64352,0.55559,0.31368,1.5919,2.04822,1.63966,0.0008317,0.0008317,0.0008317
19,168.141,1.0684,1.30264,1.26589,0.44214,0.64352,0.55559,0.31368,1.5919,2.04822,1.63966,0.0008218,0.0008218,0.0008218
20,177.169,1.09573,1.57672,1.40621,0.59797,0.52446,0.60455,0.32999,1.67151,1.98098,1.66674,0.0008119,0.0008119,0.0008119
21,186.191,1.05892,1.30238,1.21442,0.55461,0.57118,0.59626,0.33212,1.63015,2.03219,1.60984,0.000802,0.000802,0.000802
22,195.113,1.17572,1.34054,1.29746,0.57589,0.51389,0.57959,0.32768,1.62166,1.99166,1.57473,0.0007921,0.0007921,0.0007921
23,203.957,1.12932,1.41678,1.28652,0.57589,0.51389,0.57959,0.32768,1.62166,1.99166,1.57473,0.0007822,0.0007822,0.0007822
24,212.878,1.12261,1.51075,1.33226,0.51584,0.80093,0.63235,0.34448,1.55579,1.84326,1.53719,0.0007723,0.0007723,0.0007723
25,221.835,0.9521,1.20538,1.19116,0.65624,0.50232,0.65391,0.37223,1.48956,1.67744,1.50823,0.0007624,0.0007624,0.0007624
26,230.774,1.05226,1.21889,1.24683,0.55513,0.75926,0.64819,0.36884,1.42711,1.70768,1.44756,0.0007525,0.0007525,0.0007525
27,239.596,1.02282,1.27959,1.20202,0.55513,0.75926,0.64819,0.36884,1.42711,1.70768,1.44756,0.0007426,0.0007426,0.0007426
28,249.776,1.1264,1.22202,1.29429,0.5537,0.75689,0.66134,0.39583,1.3645,1.77696,1.39537,0.0007327,0.0007327,0.0007327
29,259.23,1.03961,1.28017,1.26331,0.48752,0.73682,0.66414,0.41628,1.28655,1.8483,1.34141,0.0007228,0.0007228,0.0007228
30,268.172,1.10547,1.25884,1.30288,0.49539,0.75,0.68389,0.41174,1.255,1.83251,1.32709,0.0007129,0.0007129,0.0007129
31,277.035,1.12496,1.31197,1.37407,0.49539,0.75,0.68389,0.41174,1.255,1.83251,1.32709,0.000703,0.000703,0.000703
32,286.119,0.98104,1.09751,1.15779,0.94296,0.5463,0.68786,0.3975,1.26703,2.00122,1.32231,0.0006931,0.0006931,0.0006931
33,295.084,0.94693,1.22122,1.21682,0.73808,0.62963,0.73698,0.40681,1.36951,2.13955,1.41785,0.0006832,0.0006832,0.0006832
34,304.038,0.87121,1.09285,1.1681,0.76049,0.59259,0.7367,0.39017,1.42992,2.07712,1.46538,0.0006733,0.0006733,0.0006733
35,312.952,1.0057,1.15666,1.28075,0.76049,0.59259,0.7367,0.39017,1.42992,2.07712,1.46538,0.0006634,0.0006634,0.0006634
36,321.963,0.95391,1.12596,1.20253,0.75664,0.56287,0.71175,0.39347,1.38119,1.97547,1.45827,0.0006535,0.0006535,0.0006535
37,330.963,0.97511,1.10875,1.14333,0.67328,0.68056,0.7217,0.40567,1.36177,1.65655,1.44569,0.0006436,0.0006436,0.0006436
38,339.906,0.88896,1.02106,1.11589,0.55782,0.6661,0.63016,0.39771,1.36811,1.52382,1.41488,0.0006337,0.0006337,0.0006337
39,348.835,0.92662,1.09101,1.23732,0.55782,0.6661,0.63016,0.39771,1.36811,1.52382,1.41488,0.0006238,0.0006238,0.0006238
40,357.745,0.88821,0.97258,1.14881,0.66968,0.58651,0.67443,0.41606,1.39629,1.47932,1.4499,0.0006139,0.0006139,0.0006139
41,366.706,0.88056,1.01755,1.12394,0.74766,0.62963,0.72206,0.44412,1.41005,1.46788,1.51664,0.000604,0.000604,0.000604
42,375.746,0.92876,1.03311,1.15688,0.91597,0.42593,0.77545,0.43831,1.45405,1.54871,1.60897,0.0005941,0.0005941,0.0005941
43,384.686,1.00478,1.07114,1.21095,0.91597,0.42593,0.77545,0.43831,1.45405,1.54871,1.60897,0.0005842,0.0005842,0.0005842
44,393.718,0.89681,0.90862,1.11437,0.58541,0.78283,0.81907,0.42839,1.49608,1.54356,1.63159,0.0005743,0.0005743,0.0005743
45,402.717,0.91721,1.08388,1.1536,0.72228,0.70819,0.79984,0.41548,1.55784,1.53384,1.64013,0.0005644,0.0005644,0.0005644
46,411.725,0.9364,0.90858,1.14115,0.7849,0.72308,0.79206,0.4002,1.56181,1.5224,1.63076,0.0005545,0.0005545,0.0005545
47,420.597,0.79548,0.81476,1.07598,0.7849,0.72308,0.79206,0.4002,1.56181,1.5224,1.63076,0.0005446,0.0005446,0.0005446
48,429.764,0.88312,1.04623,1.11763,0.77246,0.70932,0.77044,0.42191,1.59351,1.54339,1.6403,0.0005347,0.0005347,0.0005347
49,438.731,0.79184,0.86934,1.09488,0.74395,0.70715,0.76652,0.41862,1.5725,1.59358,1.63693,0.0005248,0.0005248,0.0005248
50,447.822,0.82512,1.03245,1.08505,0.68174,0.72584,0.78335,0.41178,1.53739,1.53825,1.62185,0.0005149,0.0005149,0.0005149
51,456.986,0.83242,0.84702,1.08773,0.68174,0.72584,0.78335,0.41178,1.53739,1.53825,1.62185,0.000505,0.000505,0.000505
52,466.334,0.86017,0.87887,1.17723,0.76899,0.59722,0.75595,0.40752,1.51402,1.53418,1.60834,0.0004951,0.0004951,0.0004951
53,475.373,0.78247,0.90028,1.11543,0.80914,0.59722,0.75317,0.41949,1.50621,1.55113,1.60777,0.0004852,0.0004852,0.0004852
54,484.406,0.7752,0.88167,1.09314,0.78796,0.65707,0.74423,0.4049,1.50247,1.48602,1.5875,0.0004753,0.0004753,0.0004753
55,493.418,0.8412,0.92195,1.08475,0.78796,0.65707,0.74423,0.4049,1.50247,1.48602,1.5875,0.0004654,0.0004654,0.0004654
56,502.481,0.76164,0.78101,1.06724,0.80095,0.68056,0.74578,0.40582,1.48749,1.43013,1.55826,0.0004555,0.0004555,0.0004555
57,511.808,0.74917,0.86351,1.09955,0.80076,0.6584,0.78257,0.42678,1.51764,1.37002,1.57691,0.0004456,0.0004456,0.0004456
58,520.758,0.86862,0.8939,1.10589,0.86111,0.60159,0.73326,0.42239,1.53529,1.35866,1.58314,0.0004357,0.0004357,0.0004357
59,529.713,0.77469,0.77307,1.09098,0.86111,0.60159,0.73326,0.42239,1.53529,1.35866,1.58314,0.0004258,0.0004258,0.0004258
60,538.899,0.78336,0.83626,1.0578,0.60108,0.67593,0.70181,0.44462,1.50018,1.39507,1.53917,0.0004159,0.0004159,0.0004159
61,547.925,0.76288,0.85146,1.10829,0.65614,0.6204,0.6786,0.43311,1.46442,1.45149,1.50914,0.000406,0.000406,0.000406
62,556.862,0.70951,0.72986,1.01765,0.54962,0.64863,0.65449,0.41942,1.42796,1.50906,1.46096,0.0003961,0.0003961,0.0003961
63,565.807,0.74454,0.81549,1.08869,0.54962,0.64863,0.65449,0.41942,1.42796,1.50906,1.46096,0.0003862,0.0003862,0.0003862
64,574.775,0.69643,0.78168,1.03422,0.66394,0.54364,0.64618,0.41465,1.41635,1.58194,1.44432,0.0003763,0.0003763,0.0003763
65,583.823,0.74972,0.78453,1.07372,0.52513,0.68279,0.63085,0.39763,1.46498,1.61276,1.4839,0.0003664,0.0003664,0.0003664
66,592.811,0.74168,0.81314,1.1317,0.66095,0.60185,0.6537,0.40826,1.47714,1.65794,1.53306,0.0003565,0.0003565,0.0003565
67,601.82,0.68598,0.77259,1.03654,0.66095,0.60185,0.6537,0.40826,1.47714,1.65794,1.53306,0.0003466,0.0003466,0.0003466
68,610.879,0.67038,0.72285,1.01646,0.80031,0.56767,0.64207,0.40786,1.44853,1.70512,1.53627,0.0003367,0.0003367,0.0003367
69,619.85,0.79346,0.76304,1.11822,0.81729,0.59944,0.63199,0.42636,1.4063,1.69367,1.52325,0.0003268,0.0003268,0.0003268
70,628.772,0.65031,0.71848,1.04357,0.74461,0.59976,0.63749,0.43148,1.36334,1.68509,1.48402,0.0003169,0.0003169,0.0003169
71,637.667,0.70124,0.79789,1.08227,0.74461,0.59976,0.63749,0.43148,1.36334,1.68509,1.48402,0.000307,0.000307,0.000307
72,646.714,0.72609,0.77037,1.03918,0.54915,0.71577,0.69013,0.43357,1.34769,1.63477,1.4818,0.0002971,0.0002971,0.0002971
73,655.719,0.73821,0.79367,1.05359,0.59498,0.64352,0.65329,0.41867,1.35959,1.53566,1.46322,0.0002872,0.0002872,0.0002872
74,664.699,0.68523,0.77897,1.03984,0.60145,0.85412,0.71962,0.42441,1.39657,1.43108,1.46185,0.0002773,0.0002773,0.0002773
75,673.59,0.62013,0.69955,1.0197,0.60145,0.85412,0.71962,0.42441,1.39657,1.43108,1.46185,0.0002674,0.0002674,0.0002674
76,682.57,0.64549,0.71997,1.00664,0.63723,0.87959,0.72795,0.42661,1.40794,1.37411,1.47352,0.0002575,0.0002575,0.0002575
77,691.575,0.68261,0.72136,1.0496,0.65709,0.8793,0.73572,0.43539,1.41089,1.32493,1.47637,0.0002476,0.0002476,0.0002476
78,700.551,0.61193,0.6945,0.99145,0.62818,0.83148,0.75926,0.46153,1.40404,1.2951,1.47917,0.0002377,0.0002377,0.0002377
79,709.417,0.63585,0.73319,1.01889,0.62818,0.83148,0.75926,0.46153,1.40404,1.2951,1.47917,0.0002278,0.0002278,0.0002278
80,718.373,0.69706,0.70887,1.05511,0.60047,0.85181,0.75183,0.45697,1.40611,1.28033,1.48888,0.0002179,0.0002179,0.0002179
81,727.362,0.60944,0.64499,0.99043,0.6802,0.8234,0.76675,0.45722,1.39986,1.29515,1.47787,0.000208,0.000208,0.000208
82,736.304,0.68582,0.72568,1.09464,0.67266,0.82567,0.76254,0.4551,1.39458,1.30058,1.46144,0.0001981,0.0001981,0.0001981
83,745.328,0.69133,0.76094,1.07548,0.67266,0.82567,0.76254,0.4551,1.39458,1.30058,1.46144,0.0001882,0.0001882,0.0001882
84,754.412,0.64373,0.7268,1.05159,0.6768,0.85546,0.76656,0.45476,1.387,1.31704,1.44363,0.0001783,0.0001783,0.0001783
85,763.427,0.6559,0.63812,0.97494,0.64878,0.85719,0.7612,0.45701,1.39034,1.30476,1.43633,0.0001684,0.0001684,0.0001684
86,772.434,0.65193,0.82257,1.04135,0.65344,0.84259,0.75964,0.45414,1.39853,1.3056,1.4296,0.0001585,0.0001585,0.0001585
87,781.358,0.70534,0.6988,1.01724,0.65344,0.84259,0.75964,0.45414,1.39853,1.3056,1.4296,0.0001486,0.0001486,0.0001486
88,790.884,0.66524,0.74738,1.02752,0.65979,0.86019,0.76367,0.45772,1.40168,1.29433,1.41792,0.0001387,0.0001387,0.0001387
89,800.087,0.66461,0.70112,1.01845,0.65551,0.85308,0.79688,0.46016,1.39473,1.34838,1.41528,0.0001288,0.0001288,0.0001288
90,809.299,0.69637,0.67946,1.032,0.63563,0.85633,0.81152,0.46777,1.39696,1.37091,1.42075,0.0001189,0.0001189,0.0001189
91,818.271,0.50993,0.67114,0.94425,0.63563,0.85633,0.81152,0.46777,1.39696,1.37091,1.42075,0.000109,0.000109,0.000109
